,0,1,2,3,4,5,6,7,8,9
0,0.093415,0.083068,0.392665,0.199638,0.129791,0.585744,0.736656,0.937219,0.48561,0.801121
1,0.787381,0.051757,0.950979,0.134508,0.349574,0.14569,0.275172,0.636135,0.071517,0.103662
2,0.98267,0.991958,0.785311,0.401361,0.718818,0.177645,0.978811,0.852587,0.94458,0.06482
3,0.977782,0.021238,0.771218,0.127671,0.261262,0.709909,0.887967,0.219349,0.464368,0.056511
4,0.520266,0.382247,0.139536,0.832946,0.495924,0.033919,0.171633,0.7364,0.151293,0.258412
5,0.757219,0.728129,0.282502,0.381701,0.092779,0.708766,0.165841,0.526059,0.419308,0.728467
6,0.74381,0.283733,0.267767,0.402336,0.829635,0.802174,0.186568,0.056101,0.687921,0.599899
7,0.50351,0.287732,0.575532,0.082878,0.706523,0.426135,0.006773,0.849446,0.398026,0.84777
8,0.699197,0.015706,0.501558,0.424865,0.708332,0.592898,0.710617,0.063086,0.6176,0.743284
9,0.474949,0.4327,0.565675,0.227523,0.882778,0.386865,0.695867,0.624927,0.551132,0.868471
10,0.073193,0.059465,0.893063,0.293141,0.379751,0.590825,0.197867,0.772105,0.340542,0.013246
11,0.586637,0.629487,0.171239,0.183054,0.274501,0.299953,0.101788,0.210744,0.508029,0.354807
12,0.081892,0.830401,0.395258,0.943097,0.914166,0.404075,0.633607,0.583999,0.508328,0.09435
13,0.313824,0.682111,0.23089,0.998993,0.27224,0.196403,0.975255,0.280319,0.823782,0.601833
14,0.391934,0.464946,0.513777,0.127608,0.178335,0.712412,0.450403,0.630487,0.033566,0.584103
15,0.820004,0.577778,0.980994,0.96007,0.744016,0.133681,0.329704,0.76118,0.480368,0.174649
16,0.090406,0.830734,0.825182,0.60154,0.473703,0.513618,0.663942,0.904169,0.821689,0.193834
17,0.55462,0.136809,0.207772,0.587694,0.05741,0.2955,0.240555,0.906381,0.621957,0.050731
18,0.531928,0.0551,0.552297,9.7e-05,0.960592,0.215657,0.369409,0.850083,0.229851,0.42635
19,0.326251,0.432424,0.045992,0.099249,0.409852,0.901062,0.955245,0.920835,0.54532,0.051108
20,0.838772,0.70566,0.448825,0.66397,0.664223,0.482342,0.362625,0.702393,0.266712,0.258365
21,0.989433,0.01401,0.364585,0.544932,0.153891,0.778184,0.159343,0.019227,0.342053,0.626761
22,0.076849,0.578153,0.549859,0.735132,0.420216,0.66695,0.032425,0.401034,0.654339,0.480566
23,0.140656,0.205519,0.700157,0.522887,0.372889,0.200401,0.875173,0.48589,0.416274,0.14141
24,0.65735,0.168147,0.17924,0.030031,0.023051,0.115677,0.591926,0.099621,0.973923,0.375652
25,0.934336,0.584908,0.254582,0.034048,0.674978,0.808717,0.030562,0.111477,0.220304,0.314147
26,0.813681,0.575133,0.329599,0.035209,0.15886,0.073626,0.362626,0.488362,0.368948,0.725689
27,0.754963,0.081877,0.136831,0.133003,0.583608,0.007483,0.757093,0.713202,0.853379,0.181428
28,0.214999,0.725654,0.016132,0.763607,0.070492,0.47137,0.068526,0.746383,0.011013,0.426062
29,0.601259,0.989777,0.208812,0.044847,0.64874,0.916823,0.305155,0.094209,0.18825,0.973491
30,0.543281,0.049498,0.019277,0.788154,0.356841,0.864481,0.359883,0.000896,0.166144,0.845616
31,0.550872,0.72578,0.344647,0.479801,0.127609,0.179403,0.311377,0.492388,0.087678,0.056319
32,0.311442,0.240992,0.685836,0.213665,0.817034,0.359379,0.665205,0.678188,0.446213,0.674076
33,0.892063,0.13109,0.290637,0.000246,0.613211,0.992704,0.526813,0.359908,0.647152,0.400236
34,0.705312,0.807513,0.260668,0.019485,0.133767,0.890333,0.312565,0.866241,0.636146,0.6243
35,0.651923,0.987677,0.286118,0.896107,0.450838,0.038915,0.397395,0.216221,0.896953,0.615716
36,0.946243,0.763457,0.691263,0.849655,0.635278,0.347912,0.258409,0.88588,0.356838,0.987624
37,0.314233,0.320879,0.557612,0.498019,0.623859,0.002734,0.684931,0.333717,0.963676,0.371508
38,0.009402,0.543779,0.655959,0.432692,0.402313,0.44545,0.149974,0.244797,0.513139,0.664383
39,0.683233,0.535023,0.704565,0.030659,0.234617,0.776297,0.60608,0.038843,0.643085,0.246867
40,0.722748,0.232972,0.708455,0.674076,0.143143,0.464045,0.344907,0.650507,0.028687,0.574041
41,0.637298,0.895156,0.747661,0.231069,0.333843,0.028433,0.579469,0.427081,0.610155,0.670037
42,0.42965,0.703804,0.324505,0.663895,0.918162,0.095904,0.840713,0.311599,0.055323,0.08363
43,0.474877,0.73321,0.918857,0.741455,0.051812,0.499831,0.538439,0.843186,0.447717,0.586011
44,0.299378,0.085745,0.934738,0.66907,0.794563,0.335897,0.74791,0.441634,0.843548,0.98797
45,0.51943,0.311623,0.027945,0.208812,0.338391,0.056847,0.89019,0.540345,0.36668,0.562055
46,0.162303,0.76552,0.453244,0.787484,0.986125,0.009267,0.659904,0.740096,0.880855,0.30733
47,0.91896,0.971441,0.926739,0.614162,0.652878,0.147104,0.957989,0.828954,0.074313,0.833947
48,0.592904,0.259078,0.974744,0.323792,0.144165,0.180115,0.213353,0.27701,0.561477,0.137115
49,0.868636,0.24589,0.836774,0.609451,0.000165,0.153544,0.457654,0.762986,0.844891,0.750614
