,0,1,2,3,4,5,6,7,8,9
0,0.13155,0.102793,0.266773,0.273273,0.482818,0.598529,0.443253,0.079392,0.696425,0.205184
1,0.120267,0.269352,0.429823,0.063955,0.296841,0.374903,0.815812,0.088881,0.941223,0.299334
2,0.063892,0.911273,0.806567,0.477722,0.400477,0.640737,0.026056,0.768162,0.062565,0.7225
3,0.734527,0.932119,0.946412,0.693122,0.638768,0.451416,0.039001,0.615256,0.524477,0.334976
4,0.776932,0.593198,0.591629,0.448716,0.139238,0.163546,0.010003,0.135006,0.932504,0.342746
5,0.618549,0.19205,0.200985,0.87925,0.576334,0.561883,0.285367,0.742065,0.833518,0.413484
6,0.864225,0.929088,0.711469,0.681886,0.559123,0.492662,0.387313,0.928371,0.878105,0.524462
7,0.724375,0.862665,0.112184,0.590056,0.518575,0.644999,0.506723,0.59391,0.481505,0.23749
8,0.850298,0.630565,0.980077,0.431054,0.803399,0.360346,0.101505,0.156725,0.99186,0.620173
9,0.171121,0.379668,0.091934,0.674593,0.527837,0.955603,0.180082,0.548354,0.752233,0.405279
10,0.066614,0.301935,0.291993,0.113698,0.915418,0.782382,0.318877,0.578104,0.579014,0.585106
11,0.310929,0.508797,0.783354,0.877817,0.312346,0.272389,0.037074,0.090027,0.018856,0.157718
12,0.433054,0.122371,0.104365,0.40528,0.654326,0.059721,0.674696,0.211476,0.768879,0.401911
13,0.621027,0.348959,0.699547,0.505776,0.916233,0.998331,0.445812,0.670676,0.292632,0.084642
14,0.564031,0.236206,0.378919,0.441277,0.481044,0.134874,0.115821,0.680146,0.032453,0.267984
15,0.184043,0.288783,0.009479,0.195415,0.814633,0.760383,0.410079,0.421237,0.3395,0.497514
16,0.291893,0.270336,0.410368,0.816447,0.876468,0.282261,0.661953,0.250379,0.235532,0.879936
17,0.424342,0.370853,0.625532,0.489571,0.469669,0.150241,0.224468,0.179449,0.438887,0.009352
18,0.515941,0.998615,0.822926,0.896931,0.784552,0.46873,0.313284,0.098885,0.616472,0.772347
19,0.845771,0.736749,0.698857,0.532497,0.149852,0.101104,0.10376,0.518648,0.16767,0.799775
20,0.517426,0.451181,0.7437,0.603577,0.769632,0.173257,0.766744,0.953912,0.268243,0.45901
21,0.961134,0.00046,0.229214,0.567811,0.939339,0.329623,0.775721,0.415062,0.514867,0.580107
22,0.669464,0.69921,0.695169,0.386243,0.549102,0.451415,0.347367,0.667196,0.670202,0.392641
23,0.28108,0.735001,0.375198,0.147688,0.443729,0.881746,0.840715,0.433985,0.030447,0.474586
24,0.774505,0.437481,0.597291,0.519149,0.268062,0.247624,0.865187,0.017282,0.582361,0.53722
25,0.178519,0.412298,0.998247,0.2549,0.793861,0.19439,0.395737,0.16589,0.121916,0.875944
26,0.727532,0.005422,0.337684,0.827887,0.580867,0.238412,0.021815,0.500647,0.12307,0.585536
27,0.458075,0.032828,0.320986,0.337233,0.540055,0.210244,0.712008,0.404947,0.091064,0.934068
28,0.752377,0.541073,0.501232,0.779604,0.084801,0.792351,0.042219,0.501778,0.821053,0.374464
29,0.932764,0.86443,0.192056,0.517408,0.347275,0.085188,0.92117,0.572762,0.544247,0.478452
30,0.345337,0.032585,0.837482,0.085803,0.649389,0.759504,0.282101,0.061107,0.552975,0.268492
31,0.413669,0.519947,0.283126,0.113308,0.232545,0.490214,0.955593,0.356043,0.120922,0.999026
32,0.171084,0.707871,0.067053,0.80035,0.588727,0.850764,0.508663,0.345835,0.631979,0.652485
33,0.181662,0.257191,0.755003,0.426071,0.646116,0.481688,0.67999,0.819554,0.602371,0.505539
34,0.593757,0.791219,0.12228,0.171309,0.896326,0.650804,0.698433,0.51675,0.534999,0.521931
35,0.38996,0.622917,0.461097,0.882647,0.222637,0.755794,0.911686,0.339054,0.960505,0.436453
36,0.481875,0.298906,0.19142,0.357273,0.904275,0.749868,0.123887,0.541839,0.969824,0.479383
37,0.813235,0.892791,0.173015,0.493956,0.087561,0.284213,0.675391,0.341928,0.944066,0.158472
38,0.5571,0.340483,0.513426,0.426272,0.785746,0.477024,0.819989,0.467292,0.793193,0.381648
39,0.968584,0.70873,0.676441,0.915614,0.357298,0.489895,0.910635,0.741024,0.527833,0.542889
40,0.3192,0.571176,0.236216,0.687575,0.251848,0.546457,0.524769,0.249716,0.288216,0.41316
41,0.415318,0.029057,0.952156,0.376323,0.706736,0.340834,0.63257,0.850537,0.18163,0.650618
42,0.503281,0.629565,0.491928,0.750994,0.46793,0.341801,0.197442,0.364062,0.838105,0.348884
43,0.722124,0.021852,0.281894,0.723661,0.492364,0.931803,0.691308,0.404028,0.422094,0.400383
44,0.366419,0.312434,0.18763,0.487881,0.601268,0.114132,0.627269,0.656961,0.568848,0.746319
45,0.393719,0.134975,0.238109,0.6805,0.615376,0.205658,0.700455,0.592228,0.788375,0.490351
46,0.220197,0.929492,0.831087,0.682069,0.6768,0.39928,0.672003,0.884349,0.766607,0.555459
47,0.6877,0.532122,0.239158,0.855377,0.912053,0.262776,0.069667,0.919754,0.207919,0.621417
48,0.493516,0.98465,0.045754,0.540632,0.658084,0.474437,0.610538,0.537942,0.701726,0.909282
49,0.441235,0.654032,0.959399,0.688703,0.979723,0.621487,0.630994,0.03622,0.797666,0.484514
50,0.343534,0.850241,0.637448,0.242916,0.44401,0.925587,0.844721,0.160522,0.506356,0.721838
51,0.914822,0.553949,0.716546,0.881145,0.251345,0.121185,0.145863,0.571181,0.268816,0.250651
52,0.710198,0.555185,0.751115,0.368451,0.720734,0.445078,0.126594,0.284956,0.984395,0.100159
53,0.533594,0.045782,0.11816,0.330851,0.127456,0.105848,0.469801,0.362704,0.075014,0.905904
54,0.85924,0.612371,0.581516,0.127771,0.434776,0.703666,0.78086,0.253704,0.248744,0.412556
55,0.221383,0.400666,0.135858,0.448109,0.695883,0.102201,0.470922,0.655931,0.290777,0.73751
56,0.068973,0.574005,0.808272,0.694589,0.751603,0.421703,0.615436,0.557441,0.220529,0.972743
57,0.948499,0.03187,0.243361,0.341903,0.540842,0.876008,0.758295,0.521581,0.427789,0.878873
58,0.469782,0.071561,0.240947,0.122477,0.672979,0.928174,0.620041,0.723411,0.661157,0.267217
59,0.265583,0.65574,0.652095,0.790756,0.85598,0.690829,0.080163,0.802188,0.288762,0.147151
60,0.876393,0.249467,0.222914,0.626896,0.797595,0.08152,0.326973,0.106277,0.492946,0.108934
61,0.943168,0.021752,0.929411,0.980877,0.510406,0.867877,0.662475,0.581864,0.412011,0.009014
62,0.172831,0.184743,0.778906,0.858402,0.036968,0.639816,0.4637,0.537752,0.660103,0.950895
63,0.838419,0.318642,0.340597,0.16645,0.353074,0.878367,0.071097,0.850483,0.714053,0.649426
64,0.876076,0.463645,0.977648,0.38502,0.727676,0.807311,0.639883,0.322712,0.830295,0.81786
65,0.306125,0.929657,0.478217,0.994615,0.616729,0.219484,0.844082,0.649665,0.193932,0.703235
66,0.95351,0.380485,0.183899,0.806175,0.980634,0.296325,0.417378,0.419013,0.219237,0.068615
67,0.659595,0.630636,0.280099,0.098602,0.206456,0.927363,0.324019,0.053076,0.796438,0.366654
68,0.826149,0.244941,0.15568,0.19601,0.050077,0.252761,0.802055,0.421074,0.39097,0.387162
69,0.221179,0.143576,0.88183,0.405436,0.767007,0.317897,0.067994,0.225216,0.448291,0.317198
70,0.760333,0.408947,0.342344,0.313314,0.880356,0.805408,0.665432,0.102228,0.77645,0.100659
71,0.481139,0.519828,0.681628,0.296383,0.399129,0.229548,0.220815,0.399134,0.309933,0.081281
72,0.245809,0.213326,0.528957,0.696456,0.235378,0.128348,0.618272,0.766693,0.17934,0.334324
73,0.488352,0.609357,0.581054,0.693224,0.109647,0.100729,0.499663,0.7065,0.175102,0.156529
74,0.823563,0.269027,0.56853,0.107516,0.909246,0.229275,0.619677,0.785365,0.852599,0.526227
75,0.374808,0.328292,0.973979,0.883578,0.452287,0.777657,0.248337,0.192991,0.114775,0.686344
76,0.569947,0.320376,0.931734,0.160147,0.213321,0.910762,0.933752,0.011962,0.714276,0.062298
77,0.882105,0.272391,0.822434,0.397589,0.583566,0.586481,0.602434,0.35521,0.609041,0.563668
78,0.540374,0.118541,0.82114,0.737748,0.932111,0.250691,0.463002,0.152734,0.27229,0.977993
79,0.157386,0.750125,0.737905,0.184348,0.273102,0.274757,0.513888,0.045811,0.284993,0.551343
80,0.167376,0.241016,0.848707,0.307166,0.583051,0.309723,0.202938,0.358655,0.28895,0.637202
81,0.236063,0.445085,0.365784,0.024892,0.838208,0.487178,0.853273,0.246218,0.620807,0.140223
82,0.705478,0.851828,0.667616,0.619926,0.466055,0.124035,0.264937,0.030318,0.537876,0.865491
83,0.239151,0.123488,0.482524,0.300893,0.74628,0.588176,0.235052,0.550869,0.061729,0.737498
84,0.148635,0.876167,0.878565,0.595387,0.90248,0.360447,0.839081,0.151606,0.62975,0.543598
85,0.605169,0.228684,0.087639,0.628086,0.33039,0.179779,0.951005,0.077606,0.563885,0.022789
86,0.14769,0.713906,0.837497,0.397638,0.889102,0.173987,0.894634,0.3764,0.052485,0.336951
87,0.602189,0.423041,0.395258,0.648598,0.364182,0.108578,0.051132,0.893009,0.570933,0.827326
88,0.363494,0.049568,0.470182,0.995974,0.300528,0.712547,0.23142,0.454419,0.787661,0.915678
89,0.504087,0.825551,0.73427,0.975104,0.388008,0.398918,0.434258,0.520834,0.847396,0.081795
90,0.654217,0.594515,0.738506,0.984886,0.092774,0.733716,0.750408,0.002493,0.699429,0.393629
91,0.414169,0.399915,0.775491,0.44628,0.968617,0.241721,0.35918,0.016249,0.72786,0.891668
92,0.991904,0.219979,0.013227,0.630608,0.972805,0.092673,0.659128,0.577896,0.875114,0.744241
