,0
0,1
1,0
2,2
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,2
12,2
13,0
14,2
15,0
16,2
17,1
18,1
19,2
20,2
21,2
22,1
23,0
24,2
25,2
26,2
27,2
28,0
29,2
30,0
31,0
32,0
33,2
34,1
35,0
36,0
37,0
38,1
39,2
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,2
49,0
50,0
51,2
52,1
53,2
54,1
55,2
56,2
57,2
58,0
59,0
60,1
61,0
62,2
63,0
64,0
65,2
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,2
78,2
79,0
80,2
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,2
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,1
98,2
99,1
100,0
101,2
102,0
103,2
104,0
105,2
106,0
107,0
108,2
109,1
110,1
111,2
112,0
113,2
114,2
115,0
116,1
117,1
118,0
119,2
120,2
121,0
122,2
123,2
124,1
125,0
126,2
127,0
128,2
129,0
130,0
131,2
132,2
133,2
134,1
135,2
136,0
137,2
138,2
139,2
140,1
141,1
142,2
143,0
144,0
145,2
146,2
147,0
148,2
149,0
150,2
151,2
152,0
153,2
154,0
155,0
156,2
157,1
158,1
159,1
160,2
161,2
162,0
163,2
164,1
165,1
166,2
167,0
168,0
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,2
178,2
179,1
180,2
181,0
182,2
183,1
184,2
185,0
186,1
187,0
188,0
189,0
190,1
191,2
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,2
201,1
202,2
203,2
204,2
205,2
206,1
207,1
208,1
209,1
210,2
211,1
212,1
213,0
214,2
215,2
216,0
217,2
218,1
219,2
220,1
221,1
222,0
223,0
224,2
225,0
226,0
227,1
228,2
229,0
230,0
231,1
232,0
233,0
234,0
235,2
236,0
237,0
238,0
239,2
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,2
248,2
249,0
250,1
251,1
252,1
253,2
254,1
255,0
256,0
257,0
258,2
259,1
260,2
261,2
262,0
263,2
264,0
265,1
266,0
267,0
268,2
269,1
270,2
271,0
272,2
273,2
274,2
275,0
276,1
277,1
278,2
279,2
280,0
281,1
282,2
283,1
284,1
285,2
286,1
287,2
288,1
289,2
290,2
291,1
292,2
293,0
294,1
295,0
296,2
297,0
298,2
299,2
300,0
301,2
302,1
303,1
304,1
305,0
306,1
307,2
308,2
309,0
310,1
311,2
312,0
313,0
314,2
315,1
316,2
317,2
318,1
319,2
320,2
321,2
322,2
323,0
324,1
325,1
326,0
327,0
328,1
329,0
330,0
331,0
332,2
333,0
334,2
335,1
336,2
337,1
338,1
339,1
340,2
341,1
342,1
343,0
344,0
345,0
346,1
347,0
348,2
349,2
350,1
351,2
352,0
353,2
354,0
355,1
356,0
357,0
358,1
359,2
360,2
361,0
362,2
363,1
364,0
365,1
366,2
367,1
368,1
369,0
370,2
371,2
372,1
373,0
374,0
375,0
376,2
377,0
378,2
379,1
380,0
381,1
382,2
383,1
384,2
385,0
386,0
387,0
388,2
389,0
390,1
391,2
392,2
393,2
394,2
395,1
396,0
397,2
398,1
399,1
400,0
401,2
402,2
403,0
404,0
405,1
406,1
407,0
408,1
409,0
410,2
411,0
412,0
413,0
414,2
415,2
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,2
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,2
438,1
439,2
440,0
441,1
442,0
443,0
444,2
445,1
446,1
447,0
448,2
449,0
450,1
451,1
452,2
453,2
454,1
455,0
456,0
457,0
458,2
459,0
460,1
461,2
462,2
463,1
464,2
465,0
466,0
467,2
468,2
469,2
470,2
471,2
472,1
473,1
474,1
475,2
476,2
477,1
478,2
479,1
480,0
481,1
482,1
483,2
484,0
485,0
486,1
487,1
488,0
489,0
490,2
491,1
492,1
493,0
494,0
495,0
496,2
497,1
498,2
499,2
500,1
501,2
502,0
503,2
504,1
505,0
506,1
507,1
508,1
509,1
510,2
511,0
512,0
513,1
514,2
515,2
516,0
517,2
518,0
519,0
520,2
521,1
522,1
523,0
524,1
525,0
526,2
527,1
528,2
529,0
530,0
531,0
532,2
533,2
534,2
535,2
536,1
537,1
538,1
539,2
540,1
541,0
542,0
543,1
544,2
545,2
546,0
547,0
548,0
549,1
550,1
551,1
552,0
553,0
554,0
555,1
556,0
557,2
558,0
559,1
560,1
561,1
562,0
563,0
564,0
565,1
566,1
567,2
568,2
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,1
578,2
579,2
580,0
581,0
582,1
583,1
584,1
585,0
586,1
587,1
588,2
589,2
590,0
591,1
592,0
593,1
594,1
595,0
596,2
597,2
598,2
599,2
600,0
601,2
602,0
603,2
604,2
605,0
606,2
607,1
608,0
609,0
610,2
611,0
612,1
613,2
614,0
615,0
616,1
617,2
618,1
619,0
620,2
621,1
622,0
623,1
624,0
625,1
626,0
627,0
628,2
629,0
630,0
631,0
632,2
633,0
634,1
635,1
636,1
637,0
638,0
639,2
640,2
641,0
642,0
643,2
644,0
645,0
646,0
647,2
648,2
649,0
650,1
651,2
652,2
653,2
654,1
655,2
656,0
657,2
658,1
659,0
660,2
661,2
662,2
663,1
664,0
665,0
666,0
667,0
668,0
669,0
670,2
671,0
672,0
673,1
674,2
675,1
676,1
677,0
678,2
679,2
680,1
681,0
682,2
683,2
684,0
685,2
686,2
687,1
688,0
689,0
690,0
691,2
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,2
701,2
702,1
703,0
704,0
705,1
706,0
707,0
708,2
709,2
710,1
711,2
712,0
713,2
714,2
715,2
716,0
717,2
718,0
719,0
720,2
721,1
722,1
723,0
724,1
725,0
726,1
727,1
728,2
729,2
730,1
731,2
732,0
733,2
734,0
735,2
736,0
737,1
738,0
739,0
740,1
741,2
742,1
743,2
744,0
745,1
746,0
747,2
748,1
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,2
757,1
758,0
759,0
760,0
761,2
762,0
763,2
764,2
765,0
766,2
767,1
768,2
769,1
770,1
771,2
772,0
773,0
774,1
775,1
776,1
777,0
778,2
779,0
780,1
781,0
782,1
783,2
784,1
785,2
786,0
787,1
788,0
789,2
790,2
791,0
792,0
793,2
794,1
795,2
796,0
797,1
798,1
799,1
800,1
801,0
802,2
803,2
804,2
805,0
806,2
807,2
808,1
809,0
810,1
811,0
812,0
813,0
814,1
815,0
816,0
817,0
818,0
819,1
820,0
821,1
822,1
823,2
824,1
825,0
826,1
827,2
828,2
829,0
830,2
831,2
832,2
833,0
834,1
835,1
836,0
837,0
838,1
839,2
840,2
841,2
842,2
843,0
844,2
845,0
846,1
847,0
848,1
849,0
850,1
851,1
852,0
853,0
854,0
855,0
856,1
857,1
858,2
859,2
860,0
861,2
862,2
863,2
864,1
865,1
866,0
867,1
868,1
869,0
870,1
871,2
872,0
873,0
874,1
875,2
876,0
877,1
878,1
879,0
880,1
881,0
882,0
883,1
884,0
885,0
886,2
887,0
888,1
889,0
890,2
891,0
892,0
893,1
894,1
895,2
896,2
897,0
898,2
899,2
900,0
901,0
902,1
903,1
904,1
905,0
906,0
907,0
908,0
909,0
910,0
911,1
912,0
913,1
914,1
915,1
916,1
917,0
918,2
919,2
920,1
921,1
922,1
923,1
924,1
925,1
926,2
927,2
928,2
929,1
930,1
931,1
932,2
933,2
934,1
935,0
936,2
937,0
938,2
939,2
940,0
941,2
942,1
943,1
944,1
945,2
946,2
947,1
948,0
949,1
950,1
951,1
952,1
953,1
954,0
955,1
956,1
957,0
958,2
959,1
960,2
961,1
962,2
963,1
964,1
965,0
966,2
967,2
968,1
969,1
970,0
971,1
972,1
973,0
974,0
975,1
976,2
977,0
978,1
979,1
980,1
981,2
982,0
983,0
984,2
985,0
986,2
987,1
988,0
989,0
990,0
991,0
992,0
993,2
994,1
995,1
996,0
997,1
998,1
999,1
1000,1
1001,0
1002,1
1003,2
1004,2
1005,2
1006,1
1007,2
1008,0
1009,1
1010,1
1011,2
1012,0
1013,2
1014,0
1015,2
1016,1
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,0
1028,0
1029,1
1030,1
1031,1
1032,2
1033,1
1034,0
1035,2
1036,1
1037,2
1038,0
1039,2
1040,0
1041,0
1042,2
1043,1
1044,2
1045,2
1046,0
1047,0
1048,0
1049,0
1050,1
1051,2
1052,2
1053,1
1054,0
1055,1
1056,0
1057,0
1058,2
1059,0
1060,2
1061,1
1062,0
1063,0
1064,1
1065,0
1066,2
1067,1
1068,1
1069,1
1070,0
1071,2
1072,1
1073,2
1074,2
1075,2
1076,0
1077,2
1078,0
1079,0
1080,0
1081,1
1082,2
1083,0
1084,2
1085,2
1086,0
1087,0
1088,0
1089,0
1090,2
1091,0
1092,1
1093,0
1094,1
1095,0
1096,1
1097,2
1098,2
1099,2
1100,2
1101,0
1102,0
1103,2
1104,0
1105,0
1106,0
1107,0
1108,0
1109,2
1110,0
1111,1
1112,2
1113,0
1114,1
1115,2
1116,2
1117,1
1118,0
1119,1
1120,1
1121,0
1122,0
1123,1
1124,0
1125,1
1126,1
1127,2
1128,0
1129,0
1130,0
1131,1
1132,0
1133,0
1134,2
1135,2
1136,0
1137,0
1138,2
1139,0
1140,1
1141,0
1142,0
1143,2
1144,0
1145,0
1146,2
1147,2
1148,2
1149,0
1150,0
1151,0
1152,2
1153,1
1154,1
1155,2
1156,2
1157,2
1158,0
1159,1
1160,1
1161,1
1162,2
1163,0
1164,1
1165,2
1166,2
1167,1
1168,0
1169,2
1170,2
1171,2
1172,1
1173,1
1174,0
1175,0
1176,0
1177,2
1178,2
1179,1
1180,1
1181,2
1182,1
1183,2
1184,0
1185,2
1186,0
1187,1
1188,1
1189,2
1190,1
1191,0
1192,0
1193,0
1194,2
1195,2
1196,0
1197,0
1198,2
1199,1
1200,0
1201,1
1202,2
1203,2
1204,0
1205,2
1206,0
1207,1
1208,2
1209,2
1210,0
1211,2
1212,2
1213,0
1214,1
1215,2
1216,2
1217,1
1218,1
1219,0
1220,0
1221,2
1222,1
1223,0
1224,1
1225,2
1226,1
1227,1
1228,1
1229,1
1230,0
